init_joint_angles,x_target,y_target,Theta,iter_count,cost
[2.76355729 2.41565672 0.54568809],0.47139673682599753,0.8819212643483549,"[[-6.27549815e+00 -5.94720354e+00 -5.60404048e-03]
 [-3.13733907e+00 -2.51826918e+00 -3.37649174e+00]
 [-2.70024139e+00 -8.25791357e+00  7.08350198e-01]
 [ 1.79983730e-02  1.50049355e+00 -2.44835496e+00]
 [ 6.88923327e-01  1.15212206e+00  9.26938507e-01]]",9,0.984456597124617
[2.76355729 2.41565672 0.54568809],0.5141027441932217,0.857728610000272,"[[-6.65796411 -6.07579706  0.04167626]
 [-3.14651924 -2.35237517 -3.15559103]
 [-2.69255524 -8.19197606  0.52516151]
 [ 0.589767    1.21525218 -2.77295112]
 [ 0.60925981  1.15534284  1.00873273]]",6,0.94378308592488
[2.76355729 2.41565672 0.54568809],0.5555702330196022,0.831469612302545,"[[-6.9459721  -5.70982235 -0.52917432]
 [-3.88934796 -2.28914597 -2.0540644 ]
 [-2.3349825  -8.20285993  0.31104751]
 [ 0.6636417   1.42263206 -2.50295655]
 [ 1.17056021  1.09686717  1.19459988]]",13,0.8745583016003966
[2.76355729 2.41565672 0.54568809],0.5956993044924334,0.8032075314806447,"[[-7.16642802 -5.85850518 -0.31383014]
 [-3.82299258 -2.32200351 -2.0319686 ]
 [-2.65116888 -8.06190643 -0.02618577]
 [ 1.01581572  1.51739666 -2.49458404]
 [ 0.89774752  1.19954656  1.01669301]]",6,0.826457929852281
[2.76355729 2.41565672 0.54568809],0.6343932841636455,0.7730104533627368,"[[-7.30467865 -5.88812794 -0.33083081]
 [-3.95866772 -2.01789375 -2.08751895]
 [-2.8696384  -7.73163101  0.42172471]
 [ 1.01159943  1.40399906 -2.38300278]
 [ 0.83243462  1.19439974  0.87371106]]",7,0.7768675447893286
[2.76355729 2.41565672 0.54568809],0.6715589548470184,0.7409511253549589,"[[-7.35589697 -6.11187421 -0.3767053 ]
 [-3.82934545 -2.33735961 -2.44751096]
 [-3.02349606 -7.45092705  0.42499547]
 [ 0.75653211  1.26151672 -2.52979431]
 [ 0.90525924  1.66126702  0.42613822]]",6,0.7259409875697936
[2.76355729 2.41565672 0.54568809],0.7071067811865475,0.7071067811865474,"[[-7.41609005 -6.03050719 -0.48039283]
 [-3.8097361  -2.84712519 -2.27032793]
 [-2.92568801 -7.30774284  0.31285945]
 [ 0.25014899  1.21331064 -2.45308276]
 [ 1.08349416  1.13848501  0.69265205]]",10,0.6874525656923217
[2.76355729 2.41565672 0.54568809],0.7409511253549589,0.6715589548470183,"[[-7.66034287 -6.05319136 -0.38750411]
 [-3.74762346 -2.65447576 -2.62630237]
 [-3.20942736 -7.42304028  0.46409871]
 [ 0.34824601  1.21985373 -2.38271297]
 [ 0.99784056  1.09778309  0.73236463]]",7,0.6343392096264048
[2.76355729 2.41565672 0.54568809],0.7730104533627369,0.6343932841636454,"[[-7.80501438 -6.02824255 -0.16615892]
 [-3.96163867 -2.83410951 -2.3142109 ]
 [-3.16105856 -7.55796909  0.44789667]
 [ 0.43486638  1.33372758 -2.10161022]
 [ 0.75159172  1.22447252  0.73250968]]",7,0.5882271855064098
[2.76355729 2.41565672 0.54568809],0.8032075314806448,0.5956993044924332,"[[-8.05200506 -5.66285201 -0.10702826]
 [-4.05334123 -3.10952134 -2.13021666]
 [-3.02685832 -7.54082397  0.42409522]
 [ 0.29196725  1.42791944 -2.36001897]
 [ 0.66004641  1.03842832  0.71758407]]",5,0.5352816281880957
[2.76355729 2.41565672 0.54568809],0.8314696123025451,0.5555702330196021,"[[-8.57761258 -5.37356578  0.26896742]
 [-3.99933118 -3.4712631  -2.38318258]
 [-2.86444747 -7.5551848   0.50262307]
 [ 0.54740812  1.41074458 -2.31789682]
 [ 0.40281956  1.13764248  0.91915819]]",10,0.48539157318685344
[2.76355729 2.41565672 0.54568809],0.857728610000272,0.5141027441932217,"[[-8.71028063 -5.73743707 -0.07217706]
 [-3.96394947 -3.83096061 -2.16005367]
 [-2.75410034 -7.38267759  0.78653617]
 [ 0.48897481  1.20672999 -2.1695182 ]
 [ 0.40376554  1.3790121   0.70863939]]",10,0.4580732606776772
